posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.49,19.39,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.56,20.41,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.62,21.31,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
4,BRB - CFI S/A,1.65,21.71,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.68,22.1,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
6,BCO SAFRA S.A.,1.75,23.13,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
7,BCO BARIGUI INV FIN S/A,1.77,23.48,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
8,CAIXA ECONOMICA FEDERAL,1.77,23.48,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
9,BCO DO EST. DO PA S.A.,1.79,23.72,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
10,BCO SANTANDER (BRASIL) S.A.,1.83,24.3,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
11,BCO MERCANTIL DO BRASIL S.A.,1.85,24.56,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
12,LECCA CFI S.A.,1.91,25.5,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
13,BRB - BCO DE BRASILIA S.A.,1.92,25.66,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
14,ITAÚ UNIBANCO BM S.A.,1.92,25.7,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
15,BANCO ORIGINAL,1.93,25.79,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
16,PARANA BCO S.A.,1.97,26.33,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
17,BCO CETELEM S.A.,1.98,26.53,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
18,BANCO INTER,2.02,27.12,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
19,BCO DO BRASIL S.A.,2.04,27.4,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
20,BV FINANCEIRA S.A. CFI,2.05,27.51,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
21,BCO CRUZEIRO DO SUL S.A.,2.05,27.51,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
22,SANTINVEST S.A. - CFI,2.06,27.74,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
23,BCO FIBRA S.A.,2.11,28.54,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
24,BANCOOB,2.12,28.68,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
25,KIRTON BANK,2.16,29.26,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
26,CCB BRASIL S.A. - CFI,2.22,30.16,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
27,BCO CCB BRASIL S.A.,2.24,30.38,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
28,BCO ARBI S.A.,2.24,30.46,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
29,BCO BRADESCO FINANC. S.A.,2.24,30.5,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
30,BCO DAYCOVAL S.A,2.26,30.7,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
31,BCO LUSO BRASILEIRO S.A.,2.26,30.81,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
32,BCO BMG S.A.,2.32,31.74,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
33,BCO BRADESCO S.A.,2.33,31.77,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
34,BCO BS2 S.A.,2.36,32.24,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
35,BCO INDUSTRIAL DO BRASIL S.A.,2.37,32.44,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
36,BCO VOTORANTIM S.A.,2.37,32.53,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
37,BIORC FINANCEIRA - CFI S.A.,2.42,33.18,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
38,BCV,2.44,33.51,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
39,BCO FICSA S.A.,2.53,35.0,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
40,BCO DO EST. DE SE S.A.,2.62,36.42,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
41,SOCINAL S.A. CFI,3.47,50.6,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
42,BANIF BRASIL BM S.A.,3.47,50.6,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
43,BANCO SEMEAR,3.6,52.85,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
44,PORTOCRED S.A. - CFI,7.36,134.5,220,2012-01-02,02/01/2012 a 06/01/2012,Crédito pessoal consignado público,Pré-fixado
