posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BANCOOB,1.88,25.08,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
2,BCO BANESTES S.A.,1.93,25.84,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
3,LECCA CFI S.A.,1.97,26.44,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
4,BCO DO ESTADO DO RS S.A.,2.01,27.0,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
5,BRB - BCO DE BRASILIA S.A.,2.01,27.0,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
6,CREDIARE CFI S.A.,2.02,27.06,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
7,CAIXA ECONOMICA FEDERAL,2.02,27.11,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
8,CCB BRASIL S.A. - CFI,2.02,27.16,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
9,GAZINCRED S.A. SCFI,2.03,27.29,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
10,BCO MERCANTIL DO BRASIL S.A.,2.03,27.32,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
11,BCO DAYCOVAL S.A,2.04,27.4,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
12,PARANA BCO S.A.,2.04,27.41,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
13,BCO SAFRA S.A.,2.04,27.44,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
14,BANCO BRADESCARD,2.05,27.49,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
15,KIRTON BANK,2.05,27.57,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
16,BANCO INTER,2.07,27.86,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
17,BCO CACIQUE S.A.,2.07,27.89,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
18,BANCO ITAÚ CONSIGNADO S.A.,2.08,27.98,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
19,BANCO PAN,2.08,28.0,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
20,BCO OLÉ BONSUCESSO CONSIGNADO S.A.,2.09,28.12,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
21,MERCANTIL BRASIL FIN S.A. CFI,2.09,28.17,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
22,BCO BRADESCO S.A.,2.11,28.44,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
23,BCO BARIGUI INV FIN S/A,2.11,28.53,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
24,BCO DO BRASIL S.A.,2.13,28.75,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
25,BCO VOTORANTIM S.A.,2.14,28.87,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
26,BCO INDUSTRIAL DO BRASIL S.A.,2.14,28.91,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
27,BCO DO NORDESTE DO BRASIL S.A.,2.14,28.93,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
28,BANCO SEMEAR,2.15,29.0,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
29,BCO CETELEM S.A.,2.15,29.02,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
30,ITAÚ UNIBANCO BM S.A.,2.16,29.26,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
31,BCO SANTANDER (BRASIL) S.A.,2.17,29.33,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
32,BCO BRADESCO FINANC. S.A.,2.18,29.5,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
33,BCO ARBI S.A.,2.18,29.51,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
34,AGIBANK FINANCEIRA,3.3,47.65,218,2015-10-14,14/10/2015 a 20/10/2015,Crédito consignado INSS,Pré-fixado
