posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO BMG S.A.,1.4,18.09,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.69,22.21,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.75,23.16,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
4,BRB - CFI S/A,1.81,24.04,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
5,BANCOOB,1.83,24.26,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
6,BCO SAFRA S.A.,1.86,24.79,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
7,BCO BARIGUI INV FIN S/A,1.88,25.11,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
8,BCO BANESTES S.A.,1.89,25.14,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
9,CAIXA ECONOMICA FEDERAL,1.89,25.18,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
10,BCO SANTANDER (BRASIL) S.A.,1.91,25.48,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
11,BRB - BCO DE BRASILIA S.A.,1.92,25.65,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
12,BCO BRADESCO S.A.,1.92,25.68,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
13,BCO ARBI S.A.,1.94,25.9,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
14,KIRTON BANK,1.95,26.04,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
15,PARANA BCO S.A.,1.98,26.47,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
16,BANCO ITAÚ CONSIGNADO S.A.,2.03,27.22,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
17,BCO CCB BRASIL S.A.,2.04,27.41,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
18,BCO DO BRASIL S.A.,2.06,27.7,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
19,BCO VOTORANTIM S.A.,2.06,27.71,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
20,BCO MERCANTIL DO BRASIL S.A.,2.06,27.78,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
21,SENFF S.A. - CFI,2.14,28.99,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
22,BCO DO ESTADO DO RS S.A.,2.17,29.37,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
23,SANTINVEST S.A. - CFI,2.18,29.52,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
24,BANCO PAN,2.18,29.6,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
25,BCO DO EST. DE SE S.A.,2.2,29.77,220,2016-04-27,27/04/2016 a 03/05/2016,Crédito pessoal consignado público,Pré-fixado
