posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO ALFA S.A.,1.47,19.12,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.51,19.67,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
3,BCO BANESTES S.A.,1.52,19.86,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
4,CAIXA ECONOMICA FEDERAL,1.54,20.08,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
5,MERCANTIL BRASIL FIN S.A. CFI,1.61,21.05,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
6,BCO SANTANDER (BRASIL) S.A.,1.63,21.34,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
7,BCO DO BRASIL S.A.,1.64,21.58,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO MERCANTIL DO BRASIL S.A.,1.68,22.08,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO BRADESCO S.A.,1.69,22.24,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO DO ESTADO DO RS S.A.,1.69,22.29,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO ARBI S.A.,1.71,22.56,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO SAFRA S.A.,1.71,22.59,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
13,KIRTON BANK,1.71,22.62,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
14,BANCOOB,1.72,22.63,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
15,PARANA BCO S.A.,1.75,23.19,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
16,BRB - BCO DE BRASILIA S.A.,1.76,23.26,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
17,BCO BARIGUI INV FIN S/A,1.76,23.35,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
18,SANTINVEST S.A. - CFI,1.79,23.79,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
19,BRB - CFI S/A,1.82,24.19,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
20,BCO CETELEM S.A.,1.88,25.11,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
21,BCO VOTORANTIM S.A.,1.91,25.47,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
22,BCO BRADESCO FINANC. S.A.,1.92,25.63,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
23,ITAÚ UNIBANCO BM S.A.,1.94,25.88,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
24,BANCO INTER,1.96,26.24,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
25,BCO DAYCOVAL S.A,1.97,26.41,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
26,BV FINANCEIRA S.A. CFI,1.98,26.47,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
27,BCO LUSO BRASILEIRO S.A.,2.05,27.53,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
28,BIORC FINANCEIRA - CFI S.A.,2.06,27.77,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
29,BCO CCB BRASIL S.A.,2.08,27.95,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
30,BANCO ITAÚ CONSIGNADO S.A.,2.1,28.31,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
31,BCO BMG S.A.,2.11,28.44,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO INDUSTRIAL DO BRASIL S.A.,2.15,29.09,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
33,BCO BS2 S.A.,2.3,31.4,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
34,BANCO CIFRA,2.34,32.01,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
35,PARATI - CFI S.A.,2.43,33.33,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
36,ESTRELA MINEIRA,2.91,41.0,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
37,SOCINAL S.A. CFI,3.52,51.46,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
38,BCO AGIBANK S.A.,3.81,56.67,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
39,FACTA S.A. CFI,5.89,98.7,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
40,PORTOCRED S.A. - CFI,6.14,104.49,220,2013-10-31,31/10/2013 a 06/11/2013,Crédito pessoal consignado público,Pré-fixado
