posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BRB - BCO DE BRASILIA S.A.,1.63,21.4,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
2,CAIXA ECONOMICA FEDERAL,1.83,24.32,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
3,CREDIARE CFI S.A.,1.9,25.28,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
4,BCO BANESTES S.A.,1.9,25.39,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
5,BANCO BRADESCARD,1.97,26.41,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
6,CCB BRASIL S.A. - CFI,2.01,27.04,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
7,GAZINCRED S.A. SCFI,2.02,27.06,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
8,BCO SAFRA S.A.,2.03,27.24,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
9,BCO DO BRASIL S.A.,2.04,27.36,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
10,BCO BARIGUI INV FIN S/A,2.04,27.46,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
11,BANCO INTER,2.05,27.59,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
12,KIRTON BANK,2.05,27.64,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
13,PARANA BCO S.A.,2.06,27.7,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
14,BCO DO ESTADO DO RS S.A.,2.07,27.85,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
15,BCO DO NORDESTE DO BRASIL S.A.,2.07,27.92,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
16,BCO DAYCOVAL S.A,2.08,27.96,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
17,BANCO PAN,2.09,28.14,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
18,BCO CACIQUE S.A.,2.1,28.32,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
19,FACTA S.A. CFI,2.1,28.37,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
20,BCO MERCANTIL DO BRASIL S.A.,2.11,28.46,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
21,BCO BS2 S.A.,2.11,28.48,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
22,BCO CETELEM S.A.,2.11,28.55,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
23,BCO BRADESCO FINANC. S.A.,2.12,28.57,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
24,ITAÚ UNIBANCO BM S.A.,2.12,28.58,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
25,BCO AGIBANK S.A.,2.13,28.72,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
26,BCO VOTORANTIM S.A.,2.13,28.78,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
27,BCO BRADESCO S.A.,2.13,28.78,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
28,BCO SANTANDER (BRASIL) S.A.,2.14,28.89,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
29,MERCANTIL BRASIL FIN S.A. CFI,2.14,28.92,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
30,BCO BMG S.A.,2.14,28.93,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
31,LECCA CFI S.A.,2.14,28.94,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
32,BANCO ITAÚ CONSIGNADO S.A.,2.15,29.01,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
33,BCO INDUSTRIAL DO BRASIL S.A.,2.15,29.1,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
34,BANCO SEMEAR,2.23,30.33,218,2014-10-24,24/10/2014 a 30/10/2014,Crédito consignado INSS,Pré-fixado
