posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.31,16.86,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.45,18.87,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.49,19.4,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
4,BANCO SEMEAR,1.49,19.47,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.58,20.71,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
6,BRB - CFI S/A,1.59,20.77,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
7,CAIXA ECONOMICA FEDERAL,1.66,21.89,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
8,BCO DO EST. DO PA S.A.,1.8,23.8,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
9,BCO BARIGUI INV FIN S/A,1.8,23.81,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
10,BCO SANTANDER (BRASIL) S.A.,1.82,24.11,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
11,SANTINVEST S.A. - CFI,1.84,24.45,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
12,BCO SAFRA S.A.,1.86,24.76,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
13,BRB - BCO DE BRASILIA S.A.,1.88,25.01,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
14,BCO FIBRA S.A.,1.91,25.45,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
15,BCO CETELEM S.A.,1.92,25.62,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
16,BIORC FINANCEIRA - CFI S.A.,1.92,25.64,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
17,BCO DO BRASIL S.A.,1.92,25.65,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
18,LECCA CFI S.A.,1.92,25.67,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
19,ITAÚ UNIBANCO BM S.A.,1.95,26.09,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
20,BCO MERCANTIL DO BRASIL S.A.,1.95,26.13,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
21,KIRTON BANK,2.0,26.78,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
22,PARANA BCO S.A.,2.0,26.86,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
23,BCO CRUZEIRO DO SUL S.A.,2.02,27.07,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
24,BANCOOB,2.04,27.45,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
25,BANCO ORIGINAL,2.08,27.98,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
26,BCO BRADESCO S.A.,2.09,28.2,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
27,BCO LUSO BRASILEIRO S.A.,2.14,28.91,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
28,BCO ARBI S.A.,2.17,29.42,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
29,BCV,2.18,29.56,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
30,BCO BRADESCO FINANC. S.A.,2.18,29.59,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
31,BCO CCB BRASIL S.A.,2.19,29.73,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
32,BV FINANCEIRA S.A. CFI,2.21,30.06,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
33,BCO INDUSTRIAL DO BRASIL S.A.,2.25,30.67,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
34,BCO BMG S.A.,2.26,30.73,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
35,BANCO INTER,2.27,30.85,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
36,BCO VOTORANTIM S.A.,2.32,31.67,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
37,BCO DO EST. DE SE S.A.,2.36,32.33,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
38,BCO DAYCOVAL S.A,2.45,33.65,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
39,BCO BS2 S.A.,2.48,34.2,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
40,BCO FICSA S.A.,2.63,36.61,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
41,BANIF BRASIL BM S.A.,3.43,49.84,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
42,SOCINAL S.A. CFI,3.52,51.48,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
43,PORTOCRED S.A. - CFI,6.91,122.86,220,2012-05-10,10/05/2012 a 16/05/2012,Crédito pessoal consignado público,Pré-fixado
