posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BANCOOB,1.73,22.85,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
2,CAIXA ECONOMICA FEDERAL,1.77,23.38,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
3,CREDIARE CFI S.A.,1.9,25.36,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
4,BCO BANESTES S.A.,1.92,25.61,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
5,CCB BRASIL S.A. - CFI,1.92,25.63,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
6,BANCO BRADESCARD,1.97,26.37,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
7,BRB - BCO DE BRASILIA S.A.,1.99,26.67,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
8,BANCO INTER,1.99,26.7,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
9,BCO BARIGUI INV FIN S/A,1.99,26.74,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
10,GAZINCRED S.A. SCFI,2.0,26.76,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
11,BCO DO BRASIL S.A.,2.0,26.89,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
12,BCO DAYCOVAL S.A,2.01,26.99,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
13,BCO SAFRA S.A.,2.02,27.17,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
14,BCO DO ESTADO DO RS S.A.,2.03,27.3,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
15,PARANA BCO S.A.,2.04,27.36,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
16,KIRTON BANK,2.05,27.61,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
17,FACTA S.A. CFI,2.08,27.97,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
18,BANCO CIFRA,2.08,28.0,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
19,BCO CETELEM S.A.,2.09,28.12,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
20,BCO AGIBANK S.A.,2.1,28.26,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
21,BANCO PAN,2.1,28.27,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
22,BCO VOTORANTIM S.A.,2.1,28.37,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
23,BCV,2.11,28.41,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
24,BCO BMG S.A.,2.11,28.43,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
25,BANCO ITAÚ CONSIGNADO S.A.,2.11,28.47,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
26,BCO CACIQUE S.A.,2.11,28.5,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
27,BCO MERCANTIL DO BRASIL S.A.,2.11,28.52,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
28,BCO BRADESCO FINANC. S.A.,2.11,28.54,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
29,ITAÚ UNIBANCO BM S.A.,2.12,28.57,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
30,BCO BS2 S.A.,2.12,28.64,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
31,BCO BRADESCO S.A.,2.13,28.71,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
32,BCO SANTANDER (BRASIL) S.A.,2.13,28.78,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
33,BCO DO NORDESTE DO BRASIL S.A.,2.13,28.81,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
34,MERCANTIL BRASIL FIN S.A. CFI,2.15,29.11,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
35,PARATI - CFI S.A.,2.16,29.27,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
36,BCO INDUSTRIAL DO BRASIL S.A.,2.19,29.66,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
37,BANCO SEMEAR,2.28,31.03,218,2014-06-13,13/06/2014 a 20/06/2014,Crédito consignado INSS,Pré-fixado
