posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO ALFA S.A.,1.65,21.66,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.67,22.04,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
3,BANCOOB,1.73,22.88,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
4,CAIXA ECONOMICA FEDERAL,1.77,23.36,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.78,23.52,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
6,BCO BRADESCO S.A.,1.8,23.8,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
7,MERCANTIL BRASIL FIN S.A. CFI,1.81,23.98,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
8,BCO MERCANTIL DO BRASIL S.A.,1.81,23.98,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
9,BCO SAFRA S.A.,1.83,24.28,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
10,BRB - CFI S/A,1.84,24.52,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
11,BCO BARIGUI INV FIN S/A,1.86,24.69,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
12,KIRTON BANK,1.89,25.13,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
13,BCO SANTANDER (BRASIL) S.A.,1.89,25.23,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
14,BCO ARBI S.A.,1.91,25.42,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
15,BRB - BCO DE BRASILIA S.A.,1.95,26.14,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
16,SANTINVEST S.A. - CFI,1.96,26.28,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
17,BCO DO BRASIL S.A.,2.04,27.37,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
18,BCO CCB BRASIL S.A.,2.07,27.9,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
19,BANCO PAN,2.08,27.98,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
20,BANCO ITAÚ CONSIGNADO S.A.,2.1,28.37,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
21,BCO DO ESTADO DO RS S.A.,2.13,28.79,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
22,BCO BRADESCO FINANC. S.A.,2.14,28.86,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
23,BCO BS2 S.A.,2.14,28.89,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
24,BCO CETELEM S.A.,2.14,28.97,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
25,BCO VOTORANTIM S.A.,2.15,29.03,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
26,BCO BMG S.A.,2.15,29.09,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
27,BCO OLÉ BONSUCESSO CONSIGNADO S.A.,2.2,29.76,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
28,BANCO INTER,2.2,29.88,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
29,BV FINANCEIRA S.A. CFI,2.21,30.01,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
30,BCO DAYCOVAL S.A,2.23,30.33,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
31,ITAÚ UNIBANCO BM S.A.,2.36,32.32,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
32,BCO INDUSTRIAL DO BRASIL S.A.,2.5,34.42,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
33,CCB BRASIL S.A. - CFI,2.62,36.42,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
34,BCO LUSO BRASILEIRO S.A.,2.77,38.83,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
35,SOCINAL S.A. CFI,3.56,52.07,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
36,PORTOCRED S.A. - CFI,5.08,81.2,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
37,FACTA S.A. CFI,5.37,87.35,220,2015-07-06,06/07/2015 a 10/07/2015,Crédito pessoal consignado público,Pré-fixado
