posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.62,21.21,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
2,FINANC ALFA S.A. CFI,1.79,23.76,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
3,BCO SAFRA S.A.,1.88,25.11,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
4,LECCA CFI S.A.,1.93,25.84,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
5,BCO DAYCOVAL S.A,2.0,26.89,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
6,BCO BANESTES S.A.,2.04,27.4,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
7,BCO DO BRASIL S.A.,2.06,27.79,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
8,BCO FIBRA S.A.,2.08,28.09,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
9,MERCANTIL BRASIL FIN S.A. CFI,2.13,28.75,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
10,BCO CETELEM S.A.,2.15,29.06,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
11,BANCO BRADESCARD,2.15,29.07,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
12,CAIXA ECONOMICA FEDERAL,2.17,29.31,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
13,CREDIARE CFI S.A.,2.19,29.71,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
14,BANCO ORIGINAL,2.19,29.75,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
15,BCO BARIGUI INV FIN S/A,2.19,29.76,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
16,BCO CACIQUE S.A.,2.2,29.9,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
17,BCO CRUZEIRO DO SUL S.A.,2.21,29.94,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
18,KIRTON BANK,2.22,30.07,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
19,BCO FICSA S.A.,2.22,30.1,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
20,BCO VOTORANTIM S.A.,2.22,30.22,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
21,BANCOOB,2.23,30.36,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
22,BCO BMG S.A.,2.24,30.48,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
23,PARANA BCO S.A.,2.25,30.65,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
24,BANCO INTER,2.26,30.7,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
25,CCB BRASIL S.A. - CFI,2.26,30.79,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
26,BCO CITIBANK S.A.,2.27,30.92,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
27,BCO BS2 S.A.,2.29,31.25,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
28,BCO BRADESCO FINANC. S.A.,2.3,31.31,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
29,BANCO CIFRA,2.32,31.64,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
30,BCV,2.32,31.69,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
31,BCO INDUSTRIAL DO BRASIL S.A.,2.35,32.14,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
32,BCO MERCANTIL DO BRASIL S.A.,2.35,32.22,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
33,BCO AGIBANK S.A.,2.39,32.74,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
34,BCO SANTANDER (BRASIL) S.A.,2.4,33.0,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
35,ITAÚ UNIBANCO BM S.A.,2.43,33.34,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
36,PARATI - CFI S.A.,2.49,34.29,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
37,BCO BRADESCO S.A.,3.53,51.62,218,2012-01-04,04/01/2012 a 10/01/2012,Crédito consignado INSS,Pré-fixado
