posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO ALFA S.A.,1.52,19.88,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
2,CAIXA ECONOMICA FEDERAL,1.54,20.07,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.59,20.77,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
4,BCO DO BRASIL S.A.,1.67,22.0,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
5,BCO BRADESCO S.A.,1.7,22.37,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
6,MERCANTIL BRASIL FIN S.A. CFI,1.71,22.49,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
7,KIRTON BANK,1.71,22.51,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
8,BCO ARBI S.A.,1.73,22.79,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
9,BCO SAFRA S.A.,1.75,23.17,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
10,BCO MERCANTIL DO BRASIL S.A.,1.75,23.2,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
11,BCO SANTANDER (BRASIL) S.A.,1.76,23.29,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
12,BCO DO ESTADO DO RS S.A.,1.76,23.35,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
13,BRB - CFI S/A,1.77,23.38,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
14,BCO BARIGUI INV FIN S/A,1.79,23.66,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
15,BANCOOB,1.8,23.92,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
16,BCO DO EST. DO PA S.A.,1.81,24.0,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
17,BANCO PAN,1.88,25.07,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
18,BCO BRADESCO FINANC. S.A.,1.89,25.2,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
19,BANCO INTER,1.92,25.65,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
20,BCO VOTORANTIM S.A.,1.93,25.77,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
21,BCO CETELEM S.A.,1.93,25.78,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
22,BRB - BCO DE BRASILIA S.A.,1.96,26.21,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
23,BCO DAYCOVAL S.A,1.97,26.36,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
24,BIORC FINANCEIRA - CFI S.A.,2.0,26.78,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
25,BCO CCB BRASIL S.A.,2.02,27.16,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
26,ITAÚ UNIBANCO BM S.A.,2.04,27.44,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
27,BV FINANCEIRA S.A. CFI,2.07,27.9,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
28,BCO DO EST. DE SE S.A.,2.09,28.19,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
29,BANCO ITAÚ CONSIGNADO S.A.,2.14,29.0,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
30,BCO BMG S.A.,2.15,29.05,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
31,BANCO CIFRA,2.17,29.45,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
32,BCO BS2 S.A.,2.28,31.07,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
33,BCO INDUSTRIAL DO BRASIL S.A.,2.35,32.14,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
34,ESTRELA MINEIRA,2.83,39.75,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
35,SOCINAL S.A. CFI,3.2,45.99,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
36,BCO AGIBANK S.A.,3.96,59.38,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
37,PORTOCRED S.A. - CFI,6.1,103.42,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
38,FACTA S.A. CFI,6.17,105.14,220,2014-02-04,04/02/2014 a 10/02/2014,Crédito pessoal consignado público,Pré-fixado
