posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO ALFA S.A.,1.75,23.07,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.82,24.13,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
3,BRB - CFI S/A,1.83,24.3,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
4,BCO BANESTES S.A.,1.84,24.48,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
5,BANCOOB,1.88,25.02,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
6,BCO BARIGUI INV FIN S/A,1.88,25.11,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
7,CAIXA ECONOMICA FEDERAL,1.89,25.18,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
8,KIRTON BANK,1.92,25.59,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
9,BCO BRADESCO S.A.,1.95,26.12,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
10,BRB - BCO DE BRASILIA S.A.,1.96,26.25,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
11,BCO ARBI S.A.,1.98,26.56,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
12,BCO SANTANDER (BRASIL) S.A.,1.99,26.73,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
13,BCO BMG S.A.,2.0,26.76,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
14,PARANA BCO S.A.,2.0,26.78,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
15,BCO SAFRA S.A.,2.04,27.35,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
16,BCO MERCANTIL DO BRASIL S.A.,2.05,27.62,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
17,BCO DO BRASIL S.A.,2.07,27.88,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
18,BCO VOTORANTIM S.A.,2.11,28.44,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
19,BANCO PAN,2.15,29.12,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
20,BCO DO ESTADO DO RS S.A.,2.17,29.33,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
21,BCO DO EST. DO PA S.A.,2.19,29.68,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
22,SANTINVEST S.A. - CFI,2.19,29.68,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
23,BANCO ITAÚ CONSIGNADO S.A.,2.21,30.0,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
24,BCO BS2 S.A.,2.23,30.22,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
25,BCO OLÉ BONSUCESSO CONSIGNADO S.A.,2.25,30.6,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
26,BCO BRADESCO FINANC. S.A.,2.27,30.84,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
27,BCO CETELEM S.A.,2.32,31.65,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
28,ITAÚ UNIBANCO BM S.A.,2.39,32.81,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
29,BCO DO EST. DE SE S.A.,2.42,33.19,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
30,BCO DAYCOVAL S.A,2.47,33.99,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
31,MERCANTIL BRASIL FIN S.A. CFI,2.53,34.9,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
32,BCO INDUSTRIAL DO BRASIL S.A.,2.64,36.63,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
33,BCO LUSO BRASILEIRO S.A.,2.64,36.66,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
34,CCB BRASIL S.A. - CFI,2.7,37.68,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
35,BANCO INTER,2.88,40.65,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
36,SOCINAL S.A. CFI,3.56,52.23,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
37,PORTOCRED S.A. - CFI,5.66,93.59,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
38,FACTA S.A. CFI,6.76,119.33,220,2016-03-18,18/03/2016 a 24/03/2016,Crédito pessoal consignado público,Pré-fixado
