posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BRB - CFI S/A,1.36,17.64,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.44,18.68,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
3,BCO DO ESTADO DO RS S.A.,1.45,18.79,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
4,FINANC ALFA S.A. CFI,1.46,19.03,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.52,19.8,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.53,20.05,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
7,BCO SAFRA S.A.,1.62,21.26,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
8,BCO SANTANDER (BRASIL) S.A.,1.64,21.6,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
9,SANTINVEST S.A. - CFI,1.66,21.81,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
10,BIORC FINANCEIRA - CFI S.A.,1.71,22.52,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
11,BCO DO BRASIL S.A.,1.71,22.61,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
12,BANCOOB,1.73,22.88,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
13,BRB - BCO DE BRASILIA S.A.,1.73,22.91,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
14,BCO BARIGUI INV FIN S/A,1.76,23.25,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
15,BCO DO EST. DO PA S.A.,1.79,23.72,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
16,BCO MERCANTIL DO BRASIL S.A.,1.8,23.9,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
17,BCO FIBRA S.A.,1.82,24.2,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
18,PARANA BCO S.A.,1.83,24.38,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
19,KIRTON BANK,1.83,24.38,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
20,BCO CETELEM S.A.,1.84,24.43,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
21,ITAÚ UNIBANCO BM S.A.,1.87,24.88,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
22,BCO DO EST. DE SE S.A.,1.95,26.04,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
23,BCO BRADESCO FINANC. S.A.,1.95,26.05,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
24,BCO ARBI S.A.,1.96,26.17,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
25,BCO BRADESCO S.A.,1.96,26.3,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
26,BCO LUSO BRASILEIRO S.A.,2.05,27.55,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
27,BCO DAYCOVAL S.A,2.13,28.71,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
28,BANCO INTER,2.13,28.81,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
29,BCO BMG S.A.,2.14,28.88,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
30,BCO INDUSTRIAL DO BRASIL S.A.,2.14,28.92,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
31,BCO VOTORANTIM S.A.,2.16,29.27,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
32,LECCA CFI S.A.,2.17,29.36,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
33,BCO CCB BRASIL S.A.,2.18,29.52,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
34,BV FINANCEIRA S.A. CFI,2.21,30.02,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
35,BANCO ORIGINAL,2.22,30.15,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
36,BANCO CIFRA,2.26,30.69,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
37,BCV,2.33,31.76,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
38,BCO BS2 S.A.,2.35,32.12,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
39,BCO FICSA S.A.,2.4,32.93,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
40,FACTA S.A. CFI,6.9,122.64,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
41,PORTOCRED S.A. - CFI,7.24,131.29,220,2012-10-22,22/10/2012 a 26/10/2012,Crédito pessoal consignado público,Pré-fixado
